epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,1040.07,1.30776,2.52993,2.4902,1.33293,0,0.31888,0.25426,0.2032,0.11132,0.30625,0.23904,0.18299,0.08124,1.62815,3.12047,3.57108,1.64891,0,0.0006734,0.0006734,0.0006734
69,1054.7,1.31094,2.53808,2.51196,1.33615,0,0.28256,0.26816,0.19026,0.10458,0.25866,0.24131,0.17204,0.07451,1.6228,3.18575,3.745,1.64383,0,0.0006536,0.0006536,0.0006536
70,1069.58,1.26227,2.43408,2.4527,1.31259,0,0.33095,0.27128,0.21016,0.11718,0.30362,0.25716,0.19185,0.08697,1.60566,3.00348,3.54186,1.62748,0,0.0006338,0.0006338,0.0006338
71,1084.35,1.2911,2.50376,2.48285,1.31748,0,0.30732,0.27339,0.20139,0.11098,0.31163,0.24696,0.18711,0.08342,1.62711,3.14216,3.62906,1.64277,0,0.000614,0.000614,0.000614
72,1099.26,1.26727,2.45159,2.38892,1.30444,0,0.30811,0.2778,0.21126,0.11583,0.31105,0.24607,0.18985,0.08432,1.60594,3.21177,3.65695,1.64128,0,0.0005942,0.0005942,0.0005942
73,1114.12,1.26026,2.46385,2.36025,1.31099,0,0.33269,0.26533,0.21315,0.11512,0.36157,0.23723,0.19462,0.08543,1.63997,3.12564,3.69105,1.65196,0,0.0005744,0.0005744,0.0005744
74,1128.62,1.26954,2.47992,2.39339,1.30117,0,0.34751,0.26716,0.21664,0.11885,0.32849,0.24485,0.19305,0.08929,1.6447,3.05511,3.60028,1.66415,0,0.0005546,0.0005546,0.0005546
75,1143.15,1.25051,2.45477,2.37759,1.29543,0,0.37245,0.24721,0.20989,0.11482,0.35853,0.23627,0.18635,0.08288,1.63082,3.03645,3.57308,1.66315,0,0.0005348,0.0005348,0.0005348
76,1157.61,1.23764,2.37924,2.3092,1.28782,0,0.36147,0.24904,0.21286,0.11492,0.34366,0.2384,0.19121,0.08414,1.62867,3.27468,3.69364,1.66148,0,0.000515,0.000515,0.000515
77,1172.11,1.23345,2.43955,2.31932,1.2962,0,0.30742,0.26639,0.19701,0.11159,0.3192,0.23755,0.17664,0.07724,1.62919,3.19441,3.69066,1.66066,0,0.0004952,0.0004952,0.0004952
78,1186.75,1.25622,2.4398,2.35639,1.29427,0,0.34719,0.26331,0.20908,0.11457,0.32686,0.25008,0.18138,0.07924,1.61816,3.19797,3.65299,1.64265,0,0.0004754,0.0004754,0.0004754
79,1201.37,1.27569,2.47118,2.36679,1.30491,0,0.32161,0.26846,0.2125,0.117,0.29868,0.25857,0.19047,0.08648,1.63056,3.16119,3.57564,1.64846,0,0.0004556,0.0004556,0.0004556
80,1215.88,1.25791,2.50239,2.35978,1.30596,0,0.34303,0.27429,0.20343,0.11104,0.34095,0.26984,0.19092,0.08481,1.63427,3.13608,3.67453,1.65293,0,0.0004358,0.0004358,0.0004358
81,1232.02,1.25929,2.49068,2.34045,1.30082,0,0.33868,0.28105,0.22246,0.12226,0.32814,0.27534,0.20399,0.0904,1.60615,3.02055,3.59933,1.64206,0,0.000416,0.000416,0.000416
82,1248.53,1.2259,2.38457,2.24617,1.27305,0,0.3528,0.2458,0.20552,0.11422,0.33604,0.23664,0.18403,0.08185,1.61171,3.22522,3.63314,1.64018,0,0.0003962,0.0003962,0.0003962
83,1264.33,1.21966,2.39048,2.24871,1.27409,0,0.28946,0.30146,0.21191,0.11856,0.27313,0.28508,0.18859,0.08737,1.61135,3.05092,3.5346,1.64561,0,0.0003764,0.0003764,0.0003764
84,1280.4,1.22141,2.34648,2.2306,1.27231,0,0.3087,0.28349,0.21978,0.11974,0.31228,0.27252,0.2047,0.09248,1.61859,3.09213,3.64592,1.65273,0,0.0003566,0.0003566,0.0003566
85,1296.75,1.21732,2.39103,2.24365,1.27379,0,0.38156,0.24479,0.20657,0.11244,0.35956,0.25104,0.1898,0.08335,1.62069,3.07528,3.74317,1.65466,0,0.0003368,0.0003368,0.0003368
86,1313.65,1.21493,2.36777,2.23173,1.27511,0,0.34473,0.26532,0.21092,0.11366,0.35412,0.25105,0.20152,0.08826,1.65549,3.12034,3.66191,1.68122,0,0.000317,0.000317,0.000317
87,1330.1,1.18525,2.30368,2.19905,1.25983,0,0.32538,0.28436,0.21077,0.11628,0.32017,0.27458,0.19211,0.08596,1.62589,3.08202,3.59955,1.65723,0,0.0002972,0.0002972,0.0002972
88,1346.78,1.2118,2.39593,2.18034,1.26914,0,0.39245,0.25544,0.21428,0.11603,0.36083,0.25694,0.19544,0.0887,1.59897,3.06474,3.65825,1.62835,0,0.0002774,0.0002774,0.0002774
89,1362.67,1.20681,2.3682,2.21147,1.26916,0,0.35622,0.27356,0.22036,0.11845,0.36413,0.26812,0.20757,0.09158,1.6282,3.16608,3.65116,1.64706,0,0.0002576,0.0002576,0.0002576
90,1377.52,1.19068,2.3521,2.1613,1.25617,0,0.3302,0.26701,0.20955,0.11529,0.3229,0.25115,0.19198,0.08442,1.62944,3.22194,3.63619,1.65717,0,0.0002378,0.0002378,0.0002378
91,1408.45,1.16768,2.08045,2.07097,1.28092,0,0.36693,0.2679,0.20921,0.11351,0.36912,0.2552,0.19456,0.08653,1.62365,3.25775,3.6566,1.67117,0,0.000218,0.000218,0.000218
92,1423.03,1.14732,2.04958,1.91992,1.26768,0,0.3592,0.26611,0.21039,0.11123,0.33063,0.26707,0.19267,0.08411,1.60763,3.26775,3.59145,1.65664,0,0.0001982,0.0001982,0.0001982
93,1436.66,1.12723,1.98269,1.82995,1.24124,0,0.38041,0.25358,0.20995,0.11413,0.35885,0.23853,0.18766,0.08528,1.5992,3.17871,3.61579,1.64799,0,0.0001784,0.0001784,0.0001784
94,1450.26,1.13655,2.00001,1.84282,1.25026,0,0.37922,0.25999,0.2147,0.11644,0.33881,0.26455,0.19549,0.08761,1.58879,3.15242,3.62738,1.64115,0,0.0001586,0.0001586,0.0001586
95,1464.33,1.11043,1.98909,1.78615,1.22835,0,0.29813,0.28929,0.20209,0.11093,0.31694,0.26368,0.18574,0.08279,1.61588,3.1893,3.72255,1.66271,0,0.0001388,0.0001388,0.0001388
96,1478.33,1.11609,1.98596,1.80103,1.23831,0,0.36969,0.25184,0.21602,0.12094,0.34521,0.2435,0.19478,0.088,1.5951,3.15369,3.5565,1.65386,0,0.000119,0.000119,0.000119
97,1492.17,1.10578,1.96188,1.74963,1.22718,0,0.35746,0.25661,0.20177,0.11427,0.34343,0.24424,0.18662,0.08413,1.60486,3.21219,3.67607,1.66322,0,9.92e-05,9.92e-05,9.92e-05
98,1505.76,1.08683,1.96315,1.7283,1.21747,0,0.34496,0.26036,0.20394,0.11462,0.33625,0.2571,0.19245,0.08387,1.61088,3.24639,3.71068,1.65848,0,7.94e-05,7.94e-05,7.94e-05
99,1521.27,1.08824,1.9355,1.70157,1.21905,0,0.37373,0.25372,0.20921,0.11745,0.36276,0.24721,0.19169,0.08395,1.60571,3.22523,3.66461,1.65628,0,5.96e-05,5.96e-05,5.96e-05
100,1536.98,1.10413,1.93532,1.70661,1.2203,0,0.41376,0.24367,0.21039,0.11836,0.39667,0.24266,0.19623,0.08566,1.60259,3.228,3.6552,1.65643,0,3.98e-05,3.98e-05,3.98e-05
