epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,1482.5,1.2547,2.44712,2.50102,1.37113,0,0.25302,0.27656,0.17306,0.08795,0.25819,0.25026,0.15,0.0647,1.68852,3.33264,4.15306,1.80174,0,0.000614,0.000614,0.000614
72,1506.28,1.2431,2.39684,2.46799,1.36313,0,0.2394,0.27329,0.1762,0.09699,0.28486,0.2342,0.16548,0.07411,1.66316,3.10809,4.00993,1.79983,0,0.0005942,0.0005942,0.0005942
73,1529.34,1.24987,2.42188,2.45508,1.36291,0,0.24029,0.29751,0.17133,0.09128,0.22345,0.26675,0.15039,0.0667,1.70704,3.25104,4.12702,1.83893,0,0.0005744,0.0005744,0.0005744
74,1552.29,1.22791,2.32686,2.40762,1.3555,0,0.25365,0.23943,0.17002,0.08851,0.22902,0.22599,0.15031,0.06579,1.68815,3.20586,4.15276,1.81725,0,0.0005546,0.0005546,0.0005546
75,1575.42,1.25429,2.4121,2.43702,1.36208,0,0.27047,0.23844,0.17157,0.09108,0.2705,0.23786,0.15901,0.06969,1.70123,3.23638,4.16114,1.84005,0,0.0005348,0.0005348,0.0005348
76,1599.22,1.24652,2.41327,2.42652,1.36217,0,0.23743,0.28182,0.17883,0.09547,0.2248,0.27009,0.16067,0.06974,1.67254,3.13232,4.14381,1.81533,0,0.000515,0.000515,0.000515
77,1622.98,1.22677,2.39694,2.35538,1.3485,0,0.31752,0.24522,0.19103,0.10083,0.28978,0.22123,0.16893,0.07451,1.70391,3.24158,3.98719,1.85403,0,0.0004952,0.0004952,0.0004952
78,1646.66,1.21962,2.3951,2.39912,1.35822,0,0.30495,0.2506,0.1899,0.10332,0.26047,0.23585,0.16162,0.07223,1.68543,3.20606,3.9458,1.82941,0,0.0004754,0.0004754,0.0004754
79,1669.46,1.21598,2.39008,2.37138,1.34933,0,0.25095,0.29118,0.18515,0.09962,0.29905,0.22112,0.16498,0.07041,1.68075,3.22384,3.98197,1.81999,0,0.0004556,0.0004556,0.0004556
80,1689.62,1.21901,2.39329,2.37371,1.34117,0,0.27702,0.27347,0.17564,0.08882,0.25326,0.23822,0.15041,0.06343,1.72922,3.24377,3.99553,1.8632,0,0.0004358,0.0004358,0.0004358
81,1709.72,1.22794,2.38548,2.41397,1.36082,0,0.23734,0.28627,0.17828,0.0963,0.24179,0.24053,0.16517,0.07282,1.67053,3.26376,3.97378,1.80163,0,0.000416,0.000416,0.000416
82,1729.89,1.23165,2.3805,2.36765,1.35618,0,0.26325,0.27892,0.17836,0.09598,0.26151,0.25941,0.15792,0.07162,1.69072,3.24458,4.05112,1.82255,0,0.0003962,0.0003962,0.0003962
83,1749.93,1.20877,2.33945,2.31624,1.34577,0,0.24916,0.28862,0.17948,0.09415,0.23733,0.25083,0.15493,0.06939,1.6752,3.27417,3.97223,1.81218,0,0.0003764,0.0003764,0.0003764
84,1770.04,1.18525,2.29178,2.24826,1.31491,0,0.25793,0.27778,0.17308,0.0933,0.26026,0.24351,0.15983,0.0667,1.67634,3.21532,4.01105,1.83468,0,0.0003566,0.0003566,0.0003566
85,1790.14,1.17655,2.26359,2.229,1.31207,0,0.27864,0.24506,0.17111,0.09205,0.26686,0.23249,0.15526,0.06829,1.68231,3.31343,4.01088,1.85616,0,0.0003368,0.0003368,0.0003368
86,1810.22,1.18836,2.31459,2.2852,1.32552,0,0.26364,0.2741,0.17886,0.09402,0.24839,0.25617,0.15693,0.06978,1.68126,3.21075,4.05954,1.84398,0,0.000317,0.000317,0.000317
87,1830.23,1.18478,2.29871,2.25836,1.31812,0,0.23839,0.2747,0.17748,0.09522,0.24799,0.25879,0.16264,0.07033,1.6545,3.27558,3.95775,1.80204,0,0.0002972,0.0002972,0.0002972
88,1850.22,1.18108,2.33324,2.24903,1.31727,0,0.28431,0.27122,0.18672,0.09942,0.25457,0.25208,0.16381,0.07436,1.68376,3.26485,4.02563,1.83382,0,0.0002774,0.0002774,0.0002774
89,1870.24,1.1787,2.28444,2.24297,1.31476,0,0.25339,0.27281,0.18963,0.10164,0.22477,0.25213,0.16736,0.07761,1.67126,3.22466,4.03646,1.83271,0,0.0002576,0.0002576,0.0002576
90,1890.26,1.1798,2.28786,2.22762,1.31866,0,0.26234,0.24643,0.18542,0.09985,0.27076,0.21081,0.16806,0.07687,1.67027,3.21045,3.96011,1.83216,0,0.0002378,0.0002378,0.0002378
91,1924.83,1.17613,2.03674,2.14098,1.37398,0,0.27158,0.26154,0.17528,0.09392,0.27155,0.2342,0.15974,0.0685,1.67385,3.35425,3.99054,1.83696,0,0.000218,0.000218,0.000218
92,1944.16,1.16911,2.00694,1.98897,1.35889,0,0.26059,0.27,0.17721,0.09435,0.2791,0.22855,0.15838,0.06985,1.6505,3.33743,4.03813,1.81152,0,0.0001982,0.0001982,0.0001982
93,1963.53,1.14445,1.97777,1.9006,1.33784,0,0.26464,0.2895,0.19184,0.09909,0.27193,0.23382,0.16317,0.0727,1.66865,3.38645,3.97431,1.82368,0,0.0001784,0.0001784,0.0001784
94,1982.9,1.13425,1.96157,1.86517,1.33009,0,0.289,0.2663,0.18842,0.09736,0.26257,0.25251,0.16524,0.07168,1.66154,3.27228,3.91922,1.81253,0,0.0001586,0.0001586,0.0001586
95,2002.31,1.14048,1.9105,1.83247,1.33498,0,0.31304,0.25384,0.19023,0.09907,0.28145,0.23661,0.16392,0.07188,1.65081,3.38753,3.93379,1.82215,0,0.0001388,0.0001388,0.0001388
96,2022.67,1.13773,1.96236,1.86785,1.34464,0,0.34754,0.2523,0.19389,0.0997,0.31119,0.23807,0.16638,0.07319,1.66419,3.36462,3.92533,1.82885,0,0.000119,0.000119,0.000119
97,2042.06,1.12868,1.92843,1.82294,1.32695,0,0.33617,0.25207,0.19633,0.10059,0.30315,0.22725,0.16553,0.07308,1.67636,3.38301,3.96757,1.83843,0,9.92e-05,9.92e-05,9.92e-05
98,2061.51,1.13437,1.92963,1.83781,1.33941,0,0.32758,0.26121,0.19369,0.10038,0.30833,0.2289,0.1646,0.07322,1.66848,3.369,3.91654,1.83243,0,7.94e-05,7.94e-05,7.94e-05
99,2080.82,1.10088,1.90135,1.77654,1.31891,0,0.32801,0.24467,0.19397,0.09976,0.32386,0.22628,0.1622,0.07155,1.66221,3.39362,3.9227,1.83063,0,5.96e-05,5.96e-05,5.96e-05
100,2100.27,1.11951,1.91962,1.79527,1.31614,0,0.32144,0.26069,0.19924,0.1033,0.31008,0.22716,0.1672,0.07305,1.66622,3.3871,3.91443,1.83598,0,3.98e-05,3.98e-05,3.98e-05
